NM Volt Ampere Efficiency RotationsPerMinute Power
0 12 4 0 1735 5
0.015 12.06786 4.86764 0.67205 1735.59638 5.60996
0.109 12.95071 5.58637 0.06368 1736.39357 6.42128
0.129 13.77072 5.66761 0.95036 1737.20209 6.7035
0.131 14.07174 6.24534 0.67782 1738.14104 6.86044
0.161 14.28537 6.47879 1.67136 1739.07499 6.92018
0.194 14.70548 6.72632 0.88553 1739.77875 7.55798
0.195 13.72508 7.29428 1.82965 1740.20419 7.62676
0.29100000000000004 12.90228 7.61117 1.46159 1740.73536 8.51992
0.36900000000000005 12.455 8.13216 0.73343 1741.63808 8.56985
0.41100000000000003 11.85574 8.28177 0.42789 1741.97945 9.32246
0.498 10.9016 9.11217 1.2779 1742.51612 9.58646
0.553 10.6134 9.93685 0.63711 1743.43749 10.08228
0.638 10.29626 9.34679 0.42861 1744.12741 10.25214
0.68 11.21472 9.0389 1.24446 1744.83251 11.14215
0.686 11.67654 8.51948 0.60633 1745.12596 11.40826
0.7420000000000001 12.04436 8.05965 0.26064 1745.32571 12.05835
0.8350000000000001 12.97611 7.70483 1.15163 1745.87894 12.13811
0.8890000000000001 13.51731 7.01132 0.42752 1746.7198 13.12196
0.9880000000000001 13.53317 6.49686 0.12458 1747.26993 13.85332
1.0250000000000001 13.8373 6.19429 1.08157 1748.12076 14.30225
1.056 14.75632 5.73116 0.82385 1748.51374 15.00827
1.113 14.07245 5.689 0.37385 1749.10666 15.5502
1.152 13.69525 5.46944 0.22911 1749.59417 15.65587
1.236 12.71 5.01518 1.16662 1749.72097 16.3839
1.272 11.71225 4.95059 0.70578 1750.55765 16.98066
1.284 10.83713 4.73515 0.18384 1750.82653 17.74255
1.371 10.32623 3.7668 0.59987 1751.28061 18.32574
1.397 10.22483 3.18703 -0.20205 1751.94831 18.96813
1.488 10.97342 2.25196 0.72207 1752.84482 19.20489
1.54 11.18165 2.23251 -0.06987 1753.34733 19.53382
1.602 11.94052 2.0523 0.27051 1754.03312 19.94202
1.693 12.52067 1.06034 0.6198 1754.13766 20.08722
1.75 13.24285 0.25558 0.9522 1754.7674 20.59161
1.801 13.40104 0.62787 0.00236 1754.93246 21.00479
1.8719999999999999 13.67231 0.73117 0.14179 1755.51477 21.03683
1.9209999999999998 14.25833 1.58208 -0.83818 1755.85832 21.39274
1.9669999999999999 13.30309 2.46389 0.15632 1756.80035 21.61082
1.9869999999999999 12.5818 3.06225 -0.81264 1757.67585 22.4369
2.056 11.7763 3.18083 0.07106 1758.49284 22.50652
2.128 11.71979 3.46453 0.67126 1758.85086 22.64678
2.226 11.6641 4.02491 0.03739 1759.15936 22.75868
2.272 11.63849 4.51311 0.60683 1759.62143 23.48446
2.3539999999999996 11.09179 4.851 0.13038 1760.14295 24.23545
2.4469999999999996 10.38795 5.66655 0.39623 1760.67321 24.78771
2.5279999999999996 10.26442 6.06715 0.41859 1760.8959 25.38297
2.5609999999999995 10.85911 6.35316 0.99384 1761.78622 26.11168
2.5879999999999996 11.13064 6.38018 0.37232 1761.96637 26.70177
2.655 11.80685 6.71105 0.26408 1762.6628 26.77092
2.671 12.54178 7.51177 0.61803 1762.7955 26.88973
2.6839999999999997 13.04803 7.61724 0.1852 1763.76885 27.05176
2.723 13.49853 7.69702 0.94593 1764.03741 27.29516
2.811 13.62462 8.6069 0.02829 1764.16751 27.70943
2.885 14.53001 9.12682 1.02126 1764.2317 28.35133
2.973 14.84387 9.41799 0.63514 1764.44843 28.46075
3.042 13.90417 8.75929 0.50456 1765.19878 29.13157
3.13 13.02377 8.20662 1.02882 1765.95562 30.06428
3.2199999999999998 12.40861 7.4874 1.00364 1766.34567 30.9742
3.2809999999999997 12.11703 6.84132 0.32131 1767.08277 31.69593
3.3069999999999995 11.58336 6.54615 0.1623 1767.63109 32.22739
3.3739999999999997 10.80726 6.17577 0.97888 1767.97133 32.28679
3.437 10.31192 5.88569 0.34618 1768.31945 33.10254
3.493 11.18207 5.72942 0.13046 1768.85816 33.96332
3.526 11.68953 5.6712 0.45203 1768.99739 34.31697
3.5669999999999997 12.40719 5.28839 0.94405 1769.43452 34.99668
3.631 12.70573 4.77912 0.62161 1769.6328 35.05295
3.6559999999999997 13.21391 4.26852 1.60518 1770.08917 35.33726
3.711 13.84683 3.68071 1.05808 1770.8241 36.00226
3.7849999999999997 14.06685 3.17745 0.99257 1771.22276 36.35348
3.8529999999999998 14.6643 2.43989 0.22775 1771.32274 37.32366
3.9059999999999997 13.72202 2.11957 0.59296 1772.22475 37.7615
