Newtonmeter Volt[V] Ampere[A] Efficiency RotationsPerMinute[RPM] Power[W]
0 12 2 0 4016 32
0.002 12.85826 2.7462 0.20697 4016.84359 32.90462
0.056 13.71302 3.05629 0.3333 4017.46634 33.33122
0.145 14.24288 3.81262 0.89755 4018.45446 34.22937
0.237 13.33488 4.33315 0.43838 4019.41788 34.96696
0.314 12.47387 5.11434 0.36539 4019.53535 35.54381
0.372 11.63782 5.80136 0.75604 4020.48587 35.91764
0.46299999999999997 11.53363 6.0318 0.06817 4020.9781 36.23232
0.511 11.17973 6.97567 0.49489 4021.47439 36.27216
0.528 10.58551 7.7012 0.61589 4022.10995 36.86983
0.554 10.18802 8.49644 0.75443 4022.21595 36.91017
0.5870000000000001 10.77201 8.83072 -0.06501 4022.81052 37.17741
0.6270000000000001 10.90585 9.64103 0.88221 4023.78473 38.1141
0.7210000000000001 11.86891 9.0112 0.28048 4023.96884 38.36201
0.8130000000000001 12.03628 8.52509 0.25687 4024.56661 38.66246
0.8680000000000001 12.65887 7.57843 0.19587 4024.89371 39.54187
0.8940000000000001 13.54281 6.98354 0.97119 4025.21136 40.47145
0.9590000000000001 13.90616 6.0457 0.20739 4025.32884 40.68453
1.012 13.98555 5.2778 1.00772 4025.89666 40.86358
1.021 14.37242 4.53649 0.46206 4025.95578 41.24639
1.023 14.60812 4.42211 0.26247 4026.21028 41.68261
1.0579999999999998 13.97782 4.23359 0.70685 4026.41735 42.22668
1.1449999999999998 13.80086 3.4426 -0.16919 4026.63114 42.89672
1.1589999999999998 13.19415 3.02342 0.48211 4027.17127 43.22346
1.1609999999999998 12.94706 2.65111 -0.34073 4027.89117 43.59345
1.2269999999999999 12.89829 1.90211 -0.05868 4028.76976 44.08045
1.2449999999999999 12.79194 1.47192 0.74204 4029.0997 45.01152
1.3399999999999999 12.24619 0.59078 -0.04645 4029.12787 45.20409
1.4329999999999998 11.66742 0.53687 0.71574 4029.34134 45.44989
1.4949999999999999 11.39315 0.27579 0.97454 4030.08103 46.20501
1.509 11.1735 1.21314 0.49542 4030.41658 46.9961
1.561 10.27533 1.49962 0.28167 4030.80842 47.18804
1.5659999999999998 11.10036 2.00602 0.174 4031.63122 47.97568
1.648 11.68824 2.69036 0.60801 4031.93735 48.72989
1.7069999999999999 12.06196 3.47762 -0.37657 4032.93445 49.44574
1.791 12.42301 3.99218 0.154 4033.30874 50.05829
1.861 12.57939 4.93803 0.53347 4033.65811 50.90569
1.923 12.86341 5.85986 0.79183 4034.4123 51.10409
1.926 13.01359 5.87676 -0.06214 4034.71038 51.84037
1.956 13.98194 6.44599 0.00824 4034.95763 51.92071
2.028 14.41822 7.17474 0.74831 4035.46349 52.69001
2.066 14.58314 8.07633 -0.02066 4036.06089 53.08583
2.0869999999999997 13.84901 8.79286 0.58379 4036.85067 53.45555
2.0879999999999996 13.78184 9.14943 -0.3722 4037.53123 54.3446
2.1379999999999995 13.23595 8.16559 0.44836 4037.85934 54.99017
2.1849999999999996 12.47319 7.77697 0.55357 4038.7476 55.6578
2.1899999999999995 12.32217 7.38391 0.97567 4039.73603 55.99451
2.2769999999999997 12.15504 6.88877 0.87393 4039.91419 56.06999
2.312 11.28204 6.1052 0.20083 4040.78369 56.31644
2.409 11.05657 5.58611 0.07149 4041.59592 56.4931
2.409 10.46263 4.6874 0.4488 4041.69979 56.50509
2.484 11.32746 4.23294 -0.42754 4042.62291 56.78664
2.516 11.61914 3.94328 -0.19242 4043.22047 56.90687
2.517 11.72332 3.72622 -0.08793 4044.12267 57.21856
2.537 12.22852 3.52018 0.43722 4044.19133 57.8678
2.621 12.98201 3.10284 -0.47815 4044.59633 58.22192
2.715 13.52674 2.80988 -0.08249 4045.22637 59.01823
2.726 13.99536 2.42953 0.47311 4045.49824 59.4651
2.823 14.62361 1.72436 -0.49993 4046.31212 60.19857
2.868 13.81299 1.22309 0.16122 4047.28793 61.15984
2.909 13.45316 1.05426 -0.7736 4047.44285 61.67704
3.0029999999999997 13.21568 0.49303 -0.70438 4048.29837 62.49567
3.0929999999999995 13.19092 0.29273 0.0482 4048.43342 62.64313
3.1619999999999995 12.7612 0.92673 0.98092 4049.11937 62.83316
3.1859999999999995 12.58576 1.88353 0.08884 4049.41548 62.88366
3.2609999999999997 11.8001 2.39028 0.34007 4049.83209 62.98983
3.2709999999999995 11.7331 3.31018 0.67799 4050.48212 63.90854
3.2959999999999994 11.04585 4.09604 0.8806 4051.21576 64.08304
3.3449999999999993 10.14148 4.1715 0.11685 4051.9196 64.95444
3.4239999999999995 10.92505 4.49607 1.09457 4051.96785 64.98255
3.5209999999999995 11.33913 4.87007 0.9004 4052.55018 65.89547
3.5239999999999996 12.06109 5.7524 0.81467 4053.27785 66.19421
3.5789999999999997 12.48906 6.05817 1.75187 4053.53723 66.88763
3.667 12.93091 6.11723 1.57692 4054.41995 67.55943
3.702 13.25336 6.57235 0.95668 4054.53693 68.45218
3.771 14.19155 7.27943 0.33734 4055.11751 68.88356
3.7929999999999997 14.83283 7.43912 0.75242 4056.00908 69.79053
3.8209999999999997 14.45144 7.45444 0.30999 4056.20191 70.67893
3.8589999999999995 13.81558 8.03335 1.23993 4057.00652 71.4096
3.8719999999999994 13.23565 8.70991 0.41576 4057.27766 71.90564
3.9259999999999993 13.06269 8.99367 1.23268 4057.35071 72.85429
4.0089999999999995 12.72649 9.9652 1.21203 4057.77937 73.71637
4.106999999999999 12.01232 9.54968 0.8542 4058.15144 73.743
4.191999999999999 11.64579 9.15233 0.1845 4058.36865 74.55262
4.2749999999999995 10.66952 8.73317 1.17579 4058.896 74.74181
4.303999999999999 10.62809 8.70784 0.54381 4059.86057 75.08327
4.356999999999999 11.46989 8.6205 1.12167 4060.34622 75.62366
4.371999999999999 11.79806 8.24701 0.13198 4061.13948 75.96253
4.461999999999999 12.71365 8.14829 0.74634 4061.50418 76.43307
4.483999999999999 13.60841 7.3964 0.96849 4061.80008 76.62366
4.579999999999999 14.07228 6.42333 0.54486 4062.0067 77.58235
4.621999999999999 14.55793 5.68659 1.52022 4062.67721 78.36633
4.643999999999999 13.698 5.66432 1.01034 4063.24422 79.35071
4.671999999999999 13.12329 5.30095 0.68361 4063.78406 80.12198
4.707999999999998 12.98635 4.36212 1.45762 4063.96719 80.83512
4.746999999999998 12.70156 4.34963 1.30486 4064.16339 81.05935
4.773999999999998 12.5074 4.31191 0.70319 4064.68169 81.57314
4.8599999999999985 12.31475 3.55546 1.47018 4065.60323 81.65443
4.892999999999999 11.89011 3.08192 0.48537 4065.95332 82.04317
4.945999999999999 11.71997 2.91445 0.28135 4066.27516 83.03929
4.999999999999999 10.82153 1.92233 1.06748 4066.95476 83.54018
5.065999999999999 10.16985 1.34827 0.50587 4067.43555 83.74377
5.0939999999999985 10.56463 1.11199 0.32592 4068.42725 84.47212
5.134999999999999 11.24933 0.82017 0.98554 4068.47837 84.82411
5.181999999999999 12.05839 1.72941 0.79105 4068.56208 85.36892
5.220999999999998 12.32519 2.61196 0.7697 4069.43623 85.77049
5.314999999999999 13.19775 2.83207 0.34961 4070.20065 86.37119
5.339999999999999 14.19004 3.54913 0.9031 4070.93172 86.94965
5.339999999999999 14.41213 3.95252 0.13098 4071.0527 87.32815
5.382999999999999 14.91577 4.68679 0.72866 4071.8126 87.41414
5.4799999999999995 14.35109 5.59164 0.77662 4071.91539 87.55444
5.561999999999999 13.55276 5.67985 0.78735 4072.59976 88.30862
5.619999999999999 13.39 6.27151 0.32518 4073.04809 88.50383
5.694999999999999 12.42967 6.3806 0.78953 4073.6756 88.75146
5.792999999999999 11.6599 6.62461 0.47827 4074.30604 88.87422
5.813999999999999 11.14436 6.64307 1.46135 4074.40553 89.01807
5.903 10.88308 7.48134 0.67468 4075.32044 89.60099
5.906 10.47137 7.52582 0.46957 4076.22362 90.03473
5.9239999999999995 11.30728 8.49508 1.2282 4077.00158 90.70047
5.933 11.44971 9.25257 0.54018 4077.87727 91.33248
5.959 12.12524 8.45856 1.17689 4078.66598 91.70674
5.981999999999999 12.60434 7.66421 1.02098 4078.96954 92.09458
6.044 12.71159 7.28342 0.14999 4079.68246 92.64193
6.077 13.02166 6.32194 0.7513 4079.87325 93.14525
6.168 13.93536 5.7194 0.11915 4080.44277 93.35119
6.219 14.44287 5.5132 1.05055 4080.9635 93.59561
6.235 13.64537 5.08988 0.10503 4081.21535 93.87909
6.321000000000001 12.99573 4.20339 0.84274 4081.4303 94.51208
6.330000000000001 12.95249 3.67438 0.04586 4081.49681 95.45749
6.353000000000001 12.1029 3.33464 0.40163 4082.1317 96.36331
6.413 11.26742 2.40451 0.58564 4082.33959 97.02198
6.423 10.44937 1.56957 0.79623 4082.38144 97.85622
6.446 10.95173 1.37957 0.17823 4083.24196 97.98165
6.526 11.10658 1.07318 0.45777 4083.36933 98.68327
6.54 12.06183 0.23595 0.70768 4083.96672 99.03726
6.581 12.83832 0.97994 -0.09507 4084.46092 99.94274
6.5920000000000005 12.91584 1.85934 0.00576 4085.11044 99.98996
6.6530000000000005 13.7935 2.32389 0.73569 4085.42067 100.25832
6.6770000000000005 13.87123 2.71219 0.14909 4086.02752 100.56805
6.689 14.43062 3.60476 0.56801 4086.34616 100.6625
6.773 14.533 4.60345 -0.226 4087.11043 101.0018
6.784 13.69999 5.25863 0.6509 4088.06728 101.1604
6.838 13.19511 5.40366 0.0565 4088.5941 101.27583
6.867 12.87061 6.2409 0.5687 4089.43491 101.91271
6.929 12.49849 7.07842 -0.08161 4090.36461 102.5069
7.0280000000000005 12.25862 7.7998 0.80136 4090.70874 102.63728
7.083 11.61051 8.24427 -0.16669 4091.6073 103.10579
7.106 11.30647 8.26465 0.33374 4091.70652 103.30199
7.196 10.44195 8.68053 0.69611 4091.83819 104.15893
7.199 10.06261 9.34437 0.91856 4091.93787 104.86636
7.232 10.27805 9.99842 0.0274 4092.76638 105.58071
7.298 10.38034 9.10441 0.51221 4093.68714 105.77074
7.34 10.69027 8.20805 0.65274 4093.87956 106.29748
7.404 10.82934 7.35382 0.98126 4094.84562 106.54835
7.466 11.79838 7.21701 0.65407 4095.69805 107.27861
7.493 12.5596 6.28299 1.36317 4096.31126 107.42032
7.516 12.73742 6.25468 0.52168 4096.94447 108.0782
7.602 13.57573 5.32139 1.50602 4097.88555 108.56929
7.607 14.29475 4.52597 0.75255 4098.35224 109.39325
7.6610000000000005 13.39795 3.65463 1.6964 4098.56631 109.87948
7.698 12.56746 3.16114 0.94943 4099.45414 110.09911
7.736000000000001 12.05709 2.63709 0.00507 4100.26941 110.23008
7.736000000000001 11.85883 2.43104 0.20871 4100.41448 110.58541
7.817000000000001 11.32911 2.10414 0.33317 4100.81445 111.38702
7.910000000000001 11.17904 1.77161 -0.58162 4101.45624 111.50889
7.979000000000001 10.95404 1.58904 -0.51958 4101.61628 111.53089
8.073 10.72121 0.73347 0.26202 4102.46355 111.6782
8.077 10.49339 0.53008 0.65752 4103.10826 112.14892
8.162 11.45259 0.5103 0.82881 4103.43942 113.01346
